Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,FT%,TRB,AST,STL,BLK,PF,PTS
Thabo Sefolosha,SF,30,ATL,52,7,976,104,249,0.418,0.776,223,75,53,21,67,278
Kevin Seraphin,C,25,WAS,79,0,1235,231,450,0.513,0.707,288,59,10,59,197,520
Ramon Sessions,PG,28,TOT,64,10,1188,125,334,0.374,0.769,144,182,29,0,73,402
Iman Shumpert,SG,24,TOT,62,25,1545,193,471,0.41,0.672,224,135,81,16,138,496
Alexey Shved,SG,26,TOT,42,9,767,133,335,0.397,0.807,99,106,30,6,48,434
Henry Sims,C,24,PHI,73,32,1399,238,502,0.474,0.774,359,79,39,30,135,586
Kyle Singler,SF,26,TOT,80,58,1743,172,446,0.386,0.769,194,85,47,21,153,480
Donald Sloan,PG,27,IND,53,21,1107,145,355,0.408,0.779,143,190,23,0,47,391
Marcus Smart,PG,20,BOS,67,38,1808,175,477,0.367,0.646,222,208,99,18,176,523
Greg Smith,PF,24,DAL,42,2,363,30,49,0.612,0.513,79,9,7,11,53,80
Ish Smith,PG,26,TOT,55,14,832,143,367,0.39,0.596,100,180,36,6,50,338
J.R. Smith,SG,29,TOT,70,51,2080,315,755,0.417,0.75,218,195,82,22,163,847
Jason Smith,C,28,NYK,82,31,1785,257,592,0.434,0.83,324,140,32,44,205,656
Josh Smith,PF,29,TOT,83,35,2300,414,987,0.419,0.498,530,277,87,116,228,1027
Russ Smith,PG,23,TOT,12,0,65,8,25,0.32,0.923,6,8,3,0,13,30
Tony Snell,SF,23,CHI,72,22,1412,159,371,0.429,0.8,176,62,32,11,86,435
Marreese Speights,PF,27,GSW,76,9,1207,318,646,0.492,0.843,325,72,20,34,189,791
Tiago Splitter,C,30,SAS,52,35,1030,169,303,0.558,0.75,252,78,35,37,103,428
Nik Stauskas,SG,21,SAC,73,1,1127,108,296,0.365,0.859,88,67,20,17,92,319
Lance Stephenson,SG,24,CHO,61,25,1573,207,550,0.376,0.627,277,240,38,8,134,501
Greg Stiemsma,C,29,TOR,17,0,66,6,8,0.75,0.5,15,3,2,0,15,14
David Stockton,PG,23,SAC,3,0,33,2,6,0.333,0.5,2,9,2,0,1,8
Jarnell Stokes,PF,21,MEM,19,2,126,21,37,0.568,0.536,34,4,5,5,25,57
Amar'e Stoudemire,PF,32,TOT,59,15,1245,273,490,0.557,0.72,329,45,29,38,161,680
Rodney Stuckey,PG,28,IND,71,36,1874,332,754,0.44,0.819,248,219,56,10,131,896
Jared Sullinger,PF,22,BOS,58,49,1566,311,708,0.439,0.744,441,134,44,42,153,770
Jeffery Taylor,SF,25,CHO,29,13,430,45,114,0.395,0.634,53,22,12,1,36,127
Jeff Teague,PG,26,ATL,73,72,2228,408,887,0.46,0.862,184,513,125,31,139,1162
Mirza Teletovic,PF,29,BRK,40,4,892,122,319,0.382,0.717,194,46,14,16,74,339
Sebastian Telfair,PG,29,OKC,16,1,327,46,125,0.368,0.706,30,45,10,0,29,134
Garrett Temple,SG,28,WAS,52,18,735,68,170,0.4,0.729,90,56,42,9,76,204
Jason Terry,SG,37,HOU,77,18,1641,188,446,0.422,0.813,121,147,66,19,116,541
Isaiah Thomas,PG,25,TOT,67,1,1726,335,797,0.42,0.868,153,284,57,5,150,1101
Lance Thomas,PF-SF,26,TOT,62,37,1490,182,442,0.412,0.727,195,69,37,8,101,443
Malcolm Thomas,PF,26,PHI,17,0,194,18,40,0.45,0.692,56,7,3,1,17,45
Tyrus Thomas,PF,28,MEM,2,0,7,1,1,1,1,0,1,0,0,0,4
Hollis Thompson,SG,23,PHI,71,23,1776,224,543,0.413,0.708,198,85,57,26,141,626
Jason Thompson,PF,28,SAC,81,63,1991,201,428,0.47,0.622,530,85,33,57,239,491
Klay Thompson,SG,24,GSW,77,77,2455,602,1299,0.463,0.879,247,222,87,60,122,1668
Tristan Thompson,PF,23,CLE,82,15,2194,267,488,0.547,0.641,657,39,34,61,189,693
Marcus Thornton,SG,27,TOT,48,0,721,140,345,0.406,0.821,86,36,27,7,38,380
Anthony Tolliver,PF,29,TOT,76,11,1432,161,393,0.41,0.783,236,59,24,16,137,482
P.J. Tucker,SF,29,PHO,78,63,2383,261,596,0.438,0.727,502,122,107,23,179,713
Ronny Turiaf,C,32,MIN,2,0,19,0,0,,,1,2,0,0,0,0
Hedo Turkoglu,SF,35,LAC,62,2,705,83,188,0.441,0.545,99,37,19,7,66,232
Evan Turner,SG,26,BOS,82,57,2260,320,746,0.429,0.752,417,449,83,19,180,779
Ekpe Udoh,PF,27,LAC,33,0,128,11,24,0.458,0.778,26,8,8,7,20,29
Beno Udrih,PG,32,MEM,79,12,1494,246,505,0.487,0.853,143,220,46,8,88,605
Jonas Valanciunas,C,22,TOR,80,80,2096,373,652,0.572,0.786,693,39,33,95,222,963
Anderson Varejao,C,32,CLE,26,26,636,111,200,0.555,0.733,170,35,19,16,58,255
Greivis Vasquez,PG,28,TOR,82,29,1991,296,725,0.408,0.758,216,302,46,10,177,775
Charlie Villanueva,PF,30,DAL,64,1,678,150,362,0.414,0.571,149,19,15,22,64,403
Noah Vonleh,PF,19,CHO,25,0,259,30,76,0.395,0.692,86,4,4,9,20,83
Nikola Vucevic,C,24,ORL,74,74,2529,631,1206,0.523,0.752,810,147,54,54,220,1428
Dwyane Wade,SG,33,MIA,62,62,1971,509,1084,0.47,0.768,219,299,73,21,105,1331
Dion Waiters,SG,23,TOT,80,23,2208,375,946,0.396,0.68,192,163,90,21,155,940
Henry Walker,SF,27,MIA,24,13,628,58,168,0.345,0.778,82,29,24,9,76,175
Kemba Walker,PG,24,CHO,62,58,2119,378,981,0.385,0.827,220,318,89,31,92,1075
John Wall,PG,24,WAS,79,79,2837,519,1166,0.445,0.785,366,792,138,45,180,1387
Gerald Wallace,SF,32,BOS,32,0,286,14,34,0.412,0.4,57,11,15,4,19,35
T.J. Warren,SF,21,PHO,40,1,614,113,214,0.528,0.737,85,25,18,9,51,245
C.J. Watson,PG,30,IND,57,21,1422,181,417,0.434,0.826,163,208,57,9,107,570
David Wear,PF,24,SAC,2,0,7,0,2,0,,2,1,0,0,1,0
Travis Wear,SF,24,NYK,51,1,672,84,209,0.402,0.769,106,40,15,11,55,199
Martell Webster,SF,28,WAS,32,0,352,24,91,0.264,0.75,46,17,7,1,24,106
David West,PF,34,IND,66,66,1895,323,686,0.471,0.739,449,223,48,48,160,769
Russell Westbrook,PG,26,OKC,67,67,2302,627,1471,0.426,0.835,488,574,140,14,184,1886
Hassan Whiteside,C,25,MIA,48,32,1142,243,387,0.628,0.5,482,6,27,123,129,564
Shayne Whittington,PF,23,IND,20,0,108,19,42,0.452,0.783,29,6,5,2,18,57
Andrew Wiggins,SG,19,MIN,82,82,2969,497,1137,0.437,0.76,374,170,86,50,190,1387
C.J. Wilcox,SG,24,LAC,21,0,101,16,38,0.421,1,7,8,3,1,7,41
Deron Williams,PG,30,BRK,68,55,2114,298,771,0.387,0.834,237,448,64,17,157,884
Derrick Williams,PF,23,SAC,74,6,1462,217,485,0.447,0.684,202,50,34,4,67,617
Elliot Williams,SG,25,TOT,13,0,119,14,37,0.378,0.25,8,12,4,0,12,37
Lou Williams,SG,28,TOR,80,0,2016,375,928,0.404,0.861,151,164,88,10,103,1242
Marvin Williams,PF,28,CHO,78,37,2035,210,495,0.424,0.713,386,100,69,36,146,577
Mo Williams,PG,32,TOT,68,33,1980,341,860,0.397,0.872,174,424,46,14,162,964
Reggie Williams,SF,28,SAS,20,0,105,15,39,0.385,1,17,10,1,0,12,37
Shawne Williams,SF,28,TOT,63,22,1087,121,300,0.403,0.875,166,44,25,21,135,341
Jeff Withey,C,24,NOP,37,0,259,32,64,0.5,0.68,64,11,4,18,26,98
Nate Wolters,PG,23,TOT,21,0,247,20,57,0.351,0.333,34,21,8,2,18,42
Brandan Wright,PF,27,TOT,75,7,1449,233,363,0.642,0.696,321,41,50,94,102,544
Dorell Wright,SF,29,POR,48,2,592,72,190,0.379,0.81,111,41,20,11,55,219
Tony Wroten,SG,21,PHI,30,15,895,175,434,0.403,0.667,86,157,48,8,72,507
James Young,SG,19,BOS,31,0,332,36,102,0.353,0.552,42,13,8,2,22,105
Nick Young,SG,29,LAL,42,0,1000,174,476,0.366,0.892,96,41,23,11,83,563
Thaddeus Young,PF,26,TOT,76,68,2434,451,968,0.466,0.655,411,173,124,25,171,1071
Cody Zeller,C,22,CHO,62,45,1487,172,373,0.461,0.774,362,100,34,49,156,472
Tyler Zeller,C,25,BOS,82,59,1731,340,619,0.549,0.823,465,113,18,52,205,833
